"colnames" "datatypes"
"BMP2" "double"
"BMP4" "double"
"BMP7" "double"
"BMPR1A" "double"
"CHRD" "double"
"CTNNB1" "double"
"CTNNBIP1" "double"
"DCHS1" "double"
"FAT4" "double"
"FBXW4" "double"
"FGF7" "double"
"FGF9" "double"
"FGFR1" "double"
"FGFR2" "double"
"FOXF1" "double"
"FOXP2" "double"
"GPC3" "double"
"HAND2" "double"
"IHH" "double"
"IRS2" "double"
"LMNA" "double"
"LRP5" "double"
"MSX1" "double"
"MYC" "double"
"NFIB" "double"
"OSR1" "double"
"PDGFA" "double"
"PHF14" "double"
"PRRX1" "double"
"PTN" "double"
"SHH" "double"
"SHOX2" "double"
"SIX1" "double"
"SIX2" "double"
"SMO" "double"
"SOX9" "double"
"STAT1" "double"
"TBX1" "double"
"TGFBR2" "double"
"VEGFA" "double"
"WNT11" "double"
"WNT2" "double"
"WNT5A" "double"
"ZEB1" "double"
"FZD2" "double"
"FZD4" "double"
"FZD6" "double"
"FZD8" "double"
"ROR1" "double"
"ROR2" "double"
"RYK" "double"
"LRP6" "double"
"dfi" "double"
"barcode" "char"
