"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-G2-A2EC-01A-11R-A180-07" "A2EC" 11.3551071571591 4 0.566337831143986 0.188806938919417
"TCGA-FD-A6TH-01A-11R-A32O-07" "A6TH" 8.60431145577206 0 0 0.742358048310015
"TCGA-C4-A0EZ-01A-21R-A24X-07" "A0EZ" -6.88480716513805 1 0.377085809890268 0.309942241497541
"TCGA-BL-A3JM-01A-12R-A21D-07" "A3JM" 1.65349325194477 0 0 0.622628135820694
"TCGA-ZF-A9RN-01A-11R-A42T-07" "A9RN" -9.40511503832634 1 0.510587527666137 0.121708591289707
"TCGA-BT-A20X-01A-11R-A16R-07" "A20X" -1.68517121954284 0 0 0.630874580200145
"TCGA-BT-A20O-01A-21R-A14Y-07" "A20O" 8.8459095157667 4 0.036109199337009 0.635037763627179
"TCGA-XF-A9SJ-01A-11R-A39I-07" "A9SJ" 4.920530533596 3 0.385406327772536 0.241199041977251
"TCGA-DK-A3IN-01A-11R-A20F-07" "A3IN" 9.46488669459604 4 0.370451030285642 0.441213060218703
"TCGA-GU-A42Q-01A-11R-A23W-07" "A42Q" -1.96445785625451 2 0.0420363670092704 0.428532316502124
"TCGA-FD-A6TI-01A-11R-A32O-07" "A6TI" -4.03866837165574 2 0.286659702063281 0.232560869189832
"TCGA-BL-A13J-01A-11R-A10U-07" "A13J" 10.5951928972239 4 0.463023792842377 0.344880205975509
"TCGA-XF-AAN1-01A-31R-A42T-07" "AAN1" -7.93031137890257 1 0.478304663478107 0.176057864284824
"TCGA-XF-AAN8-01A-11R-A42T-07" "AAN8" 14.5843015028967 4 0.373290620467796 0.438681223357886
"TCGA-XF-AAML-01A-11R-A42T-07" "AAML" -9.53576294866587 1 0.488206986535551 0.160115987405219
"TCGA-FD-A3B7-01A-31R-A20F-07" "A3B7" 14.3707566819735 4 0.492229118449605 0.307199851328535
"TCGA-FD-A3SM-01A-11R-A22U-07" "A3SM" 10.9670165440031 4 0.420352397085873 0.393107570081214
"TCGA-CU-A0YR-01A-12R-A10U-07" "A0YR" 3.74953946025912 0 0 0.724665819546392
"TCGA-2F-A9KW-01A-11R-A38B-07" "A9KW" -1.41926647751159 0 0 0.690495275268204
"TCGA-4Z-AA86-01A-11R-A39I-07" "AA86" 9.63109388854912 4 0.425136455430455 0.388056964905352
"TCGA-FD-A3SS-01A-12R-A22U-07" "A3SS" -0.628627671826102 0 0 0.623715623330308
"TCGA-XF-AAME-01A-12R-A42T-07" "AAME" 13.8643127347646 4 0.563949363055418 0.193250250259666
"TCGA-DK-A3IQ-01A-31R-A32Y-07" "A3IQ" 14.582755605997 4 0.374151641842597 0.437908979637078
"TCGA-ZF-A9RE-01A-11R-A38B-07" "A9RE" -5.69765956310577 0 0 0.591524932944483
"TCGA-XF-A9SP-01A-11R-A39I-07" "A9SP" 13.8838233569854 4 0.57481623442978 0.172631293301211
