"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-FV-A3R3-01A-11R-A22L-07" "A3R3" -7.1833003401349 2 0.264478392411556 0.206115377105494
"TCGA-2Y-A9H1-01A-11R-A38B-07" "A9H1" 8.53914909978346 1 0.0539733986956054 0.38232383743864
"TCGA-CC-5262-01A-01R-A131-07" "5262" -3.14722525251648 2 0.17737327250486 0.29017709423432
"TCGA-BC-A112-01A-11R-A131-07" "A112" 0.463938590420201 1 0.352213193732721 0.0979469246343917
"TCGA-2Y-A9HA-01A-11R-A39D-07" "A9HA" -12.2061786260936 0 0 0.728047850998044
"TCGA-ZS-A9CD-01A-11R-A37K-07" "A9CD" -2.05017606555388 2 0.101618261112562 0.350032097942862
"TCGA-2Y-A9GY-01A-11R-A38B-07" "A9GY" 3.72067181299536 1 0.271029613078357 0.072558020272853
"TCGA-DD-A39Z-01A-11R-A213-07" "A39Z" 7.87418976056924 1 0.209420610088946 0.144832577933588
"TCGA-CC-A1HT-01A-11R-A131-07" "A1HT" -0.0457342359646816 1 0.16537465984668 0.299879775196711
"TCGA-CC-A3MB-01A-11R-A213-07" "A3MB" 3.5208531614531 1 0.30725673040053 0.0240572973015434
"TCGA-CC-A7IK-01A-12R-A33R-07" "A7IK" 11.6804814775997 0 0 0.694777789391787
"TCGA-2Y-A9GZ-01A-11R-A39D-07" "A9GZ" -8.72228305572484 0 0 0.472815153048692
"TCGA-DD-A4NG-01A-11R-A27V-07" "A4NG" 2.16635798140276 1 0.185880192538617 0.282245591595704
"TCGA-CC-A7IF-01A-11R-A33J-07" "A7IF" 8.61904672116752 1 0.122957254547994 0.333740477525401
"TCGA-DD-A115-01A-11R-A131-07" "A115" -7.88016466001026 2 0.132487334699949 0.32690401255508
"TCGA-DD-A39Y-01A-11R-A213-07" "A39Y" 6.60741475077701 1 0.279841896500617 0.061209287899582
"TCGA-DD-A11D-01A-11R-A131-07" "A11D" -1.27502686517127 2 0 0.416080705928888
"TCGA-EP-A2KA-01A-11R-A180-07" "A2KA" 5.14983099118487 1 0.244233347167436 0.105441161931162
"TCGA-CC-A3M9-01A-11R-A213-07" "A3M9" -2.00313349609361 2 0.10624741598979 0.346665615833966
"TCGA-2Y-A9GW-01A-11R-A38B-07" "A9GW" -2.75083378621699 2 0.0718861726447542 0.370853793079401
"TCGA-CC-A3MA-01A-11R-A213-07" "A3MA" 0.121933712004124 1 0.219529422896427 0.251300307894735
