"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-B5-A3FD-01A-11R-A19W-07" "A3FD" 5.9866097476946 2 0.44819391751477 0.236652376693787
"TCGA-DI-A2QT-01A-12R-A19W-07" "A2QT" -7.81109163428449 1 0.478005344366859 0.224399284856956
"TCGA-AJ-A2QO-01A-11R-A32Y-07" "A2QO" 8.99977889555417 2 0.504533841861937 0.149851398178363
"TCGA-EY-A2ON-01A-21R-A18M-07" "A2ON" -8.6640389628739 1 0.413128600784748 0.310139446646612
"TCGA-FI-A3PV-01A-11R-A22K-07" "A3PV" 1.49599207083784 0 0 0.653334238742018
"TCGA-AJ-A3NH-01A-11R-A22K-07" "A3NH" 7.97702997524809 2 0.445197049108211 0.240775736837836
"TCGA-AJ-A23N-01A-11R-A22K-07" "A23N" 8.09467363042007 2 0.456297497261551 0.225275110065767
"TCGA-EY-A1GX-01A-12R-A13S-07" "A1GX" -1.8875365758234 1 0.222877158758902 0.479027758901883
"TCGA-AX-A3G1-01A-11R-A22K-07" "A3G1" -2.85795402944296 1 0.51474721324664 0.165673151681065
"TCGA-E6-A2P8-01A-11R-A19W-07" "A2P8" -4.07318097864908 1 0.59694775372223 0
"TCGA-AJ-A3EJ-01A-11R-A19W-07" "A3EJ" -8.25582436764003 1 0.486625996543653 0.211375282963005
"TCGA-AX-A2IN-01A-12R-A180-07" "A2IN" -3.77171193425997 1 0.54448732542541 0.111200520187468
"TCGA-JU-AAVI-01A-11R-A40A-07" "AAVI" -5.05283336676105 1 0.54448732542541 0.111200520187468
"TCGA-DF-A2L0-01A-11R-A180-07" "A2L0" -8.76937488266907 1 0.375675596457903 0.351523941859479
"TCGA-FI-A2EY-01A-12R-A18M-07" "A2EY" -2.35355575224263 1 0.335404488607504 0.390818292826522
"TCGA-DI-A2QY-01A-12R-A19W-07" "A2QY" -7.95119584235586 1 0.467419908062927 0.239814941753874
"TCGA-AX-A2H4-01A-21R-A18M-07" "A2H4" -6.67252173203993 1 0.532736797880424 0.133551654884425
"TCGA-EY-A3QX-01A-11R-A22K-07" "A3QX" -3.11878695210922 1 0.542789855145502 0.11450033914109
"TCGA-AJ-A3I9-01A-11R-A22K-07" "A3I9" -1.95822902445031 1 0.248012407869054 0.461614217513031
"TCGA-AP-A3K1-01A-11R-A213-07" "A3K1" -5.44105305491481 1 0.513642460325338 0.167568310998668
"TCGA-AP-A5FX-01A-11R-A27V-07" "A5FX" 9.93741330376271 2 0.313648835771743 0.3862910365066
"TCGA-AJ-A3OL-01A-11R-A22K-07" "A3OL" 9.73920003737781 2 0.377674470844422 0.323151884573082
"TCGA-K6-A3WQ-01A-11R-A22K-07" "A3WQ" -7.40961741025399 1 0.495324647361572 0.197782443518754
"TCGA-AX-A3FX-01A-11R-A22K-07" "A3FX" -2.21561012537852 1 0.286356849683797 0.432686451161866
"TCGA-D1-A3DG-01A-11R-A19W-07" "A3DG" 7.11620243800382 2 0.407363879456983 0.289243691044246
"TCGA-KP-A3W4-01A-11R-A22K-07" "A3W4" -4.1787470759369 1 0.567119703441044 0.0647312168555315
"TCGA-BG-A0MK-01A-51R-A19W-07" "A0MK" 8.56313143718779 2 0.502843240150709 0.152742362954691
"TCGA-B5-A0K9-01A-21R-A104-07" "A0K9" 9.69461239315627 2 0.392076898541344 0.307116540594799
"TCGA-B5-A1MS-01B-11R-A22K-07" "A1MS" -6.27293564025105 1 0.492167351096005 0.202769989122048
"TCGA-QS-A8F1-01A-21R-A37O-07" "A8F1" 1.23498985547683 0 0 0.643413087044747
"TCGA-A5-A2K4-01A-11R-A18M-07" "A2K4" -9.01274631127556 1 0.289142994982996 0.430462912579406
"TCGA-EY-A4KR-01A-11R-A27V-07" "A4KR" -4.5313080686408 1 0.564802729298703 0.069710553199239
"TCGA-DF-A2KN-01A-11R-A180-07" "A2KN" 7.81257836859453 2 0.431559549543102 0.258990345862181
"TCGA-EO-A3AZ-01A-12R-A19W-07" "A3AZ" -8.87263472148265 1 0.338960758847007 0.38754100663714
"TCGA-AJ-A3EL-01A-11R-A213-07" "A3EL" -3.66539832923891 1 0.515015617740746 0.165211410883147
"TCGA-AJ-A3NF-01A-11R-A22K-07" "A3NF" -4.4046824900919 1 0.564297953564457 0.0707883253658171
"TCGA-EO-A3AU-01A-21R-A19W-07" "A3AU" 8.65366015541358 2 0.503379826437016 0.15182692122838
"TCGA-EO-A3KU-01A-11R-A22K-07" "A3KU" -4.22271900743438 1 0.566811867779264 0.0653958451391501
"TCGA-AX-A3G9-01A-11R-A22K-07" "A3G9" 4.79352152528432 2 0.529039399787142 0.10561549861998
"TCGA-AJ-A8CT-01A-11R-A37O-07" "A8CT" 10.1546783562552 2 0.24346920945995 0.44322178705995
"TCGA-AJ-A3BG-01A-11R-A19W-07" "A3BG" 1.55840443089069 0 0 0.64671765290011
"TCGA-5B-A90C-01A-11R-A37O-07" "A90C" 9.99128133554256 2 0.296248714136479 0.401464878214518
"TCGA-KJ-A3U4-01A-11R-A22K-07" "A3U4" -5.54235546925296 1 0.515158445910058 0.164965492758061
"TCGA-AJ-A8CV-01A-11R-A37O-07" "A8CV" 8.15503668456947 2 0.475795601234758 0.196458742843076
"TCGA-EY-A54A-01A-11R-A27V-07" "A54A" -4.7264972958213 1 0.548406402676224 0.103487226990862
"TCGA-AX-A3G4-01A-11R-A213-07" "A3G4" -1.94279961526728 1 0.242526361608518 0.465513507414407
"TCGA-KP-A3W0-01A-21R-A22K-07" "A3W0" -5.20675837384755 1 0.579639051336237 0.0368766901471895
"TCGA-QF-A5YS-01A-11R-A31O-07" "A5YS" 6.68316947012323 2 0.457289941839981 0.223858383942435
"TCGA-4E-A92E-01A-11R-A37O-07" "A92E" 9.77789081189894 2 0.365176813874487 0.336476879236526
"TCGA-BG-A3EW-01A-11R-A22K-07" "A3EW" 9.35927158379254 2 0.500396632517208 0.15689146829956
"TCGA-AX-A3G8-01A-11R-A22K-07" "A3G8" 4.04049339981186 2 0.343155281841163 0.358722312981813
"TCGA-EO-A3AV-01A-12R-A19W-07" "A3AV" -4.48238441112548 1 0.547407542925722 0.105465807302514
"TCGA-AJ-A8CW-01A-11R-A37O-07" "A8CW" 6.78547057928327 2 0.448355975359257 0.236428126153763
"TCGA-B5-A3FA-01A-11R-A19W-07" "A3FA" -6.45332364606364 1 0.502044804921098 0.186956111290776
"TCGA-DF-A2KV-01A-11R-A180-07" "A2KV" 6.37316726944325 2 0.479882547351584 0.190144727030061
"TCGA-A5-A3LP-01A-11R-A22K-07" "A3LP" -7.07780914078469 1 0.485375858511076 0.213291030151517
"TCGA-AJ-A3OK-01A-12R-A22K-07" "A3OK" 5.83551274044214 2 0.491857495277146 0.171059579397418
"TCGA-B5-A3FB-01A-11R-A19W-07" "A3FB" 9.50495144496781 2 0.453340016180871 0.229466443385439
"TCGA-AJ-A3EM-01A-11R-A213-07" "A3EM" -2.07523495636335 1 0.252079929912337 0.45868623613422
"TCGA-DF-A2KR-01A-11R-A180-07" "A2KR" -7.22975459659675 1 0.485097814425342 0.213715848267245
"TCGA-AJ-A3BK-01A-11R-A19W-07" "A3BK" -8.16433943632583 1 0.457495331305972 0.253721762091873
"TCGA-D1-A3JP-01A-31R-A22K-07" "A3JP" -9.38270740057184 1 0.15760045654862 0.51939737935853
"TCGA-AJ-A3BI-01A-11R-A213-07" "A3BI" -7.98669131780071 1 0.454799216108991 0.257412241192143
"TCGA-AX-A1C7-01A-11R-A137-07" "A1C7" -4.84466519477485 1 0.563319279750477 0.0728708426179874
"TCGA-EO-A1Y7-01A-11R-A157-07" "A1Y7" -1.83365142199438 1 0.219335915371073 0.481390989823296
"TCGA-BK-A56F-01A-32R-A27V-07" "A56F" 10.1940380872097 2 0.230755470280888 0.45242397531924
"TCGA-A5-A2K7-01A-11R-A180-07" "A2K7" 4.69568978031433 2 0.497438388834579 0.161854283668385
"TCGA-A5-A7WK-01A-11R-A34R-07" "A7WK" -9.11904290646592 1 0.251348415058743 0.459215159156207
"TCGA-B5-A0JR-01A-13R-A466-07" "A0JR" 3.71471509761108 2 0.351319062096497 0.35065170412997
"TCGA-AJ-A3BF-01A-11R-A213-07" "A3BF" -5.9965963920804 1 0.480007765585407 0.221412549236045
"TCGA-D1-A2G0-01A-11R-A32Y-07" "A2G0" 6.9568592659231 2 0.428917962193921 0.262417947499786
"TCGA-AX-A3GB-01A-11R-A22K-07" "A3GB" 6.22298823097051 2 0.487246042660222 0.178514654911011
"TCGA-AJ-A3OJ-01A-11R-A22K-07" "A3OJ" 4.76296568259129 2 0.519169438662524 0.123974440353065
"TCGA-AX-A2HH-01A-11R-A32Y-07" "A2HH" -3.61650830453213 1 0.501899772961302 0.187192845470322
"TCGA-AX-A3G6-01A-11R-A213-07" "A3G6" -8.09090664761903 1 0.431385732998803 0.287989324740143
"TCGA-EY-A72D-01A-12R-A34R-07" "A72D" -6.34299079250839 1 0.481603154687548 0.219016412096623
"TCGA-EY-A548-01A-11R-A27V-07" "A548" 1.70650124080959 2 0.00284961849152623 0.577576392285186
"TCGA-A5-A1OH-01A-21R-A22K-07" "A1OH" -3.86747162742583 1 0.578535428004779 0.0393986704664201
"TCGA-AX-A3GI-01A-11R-A213-07" "A3GI" -5.78160120284672 1 0.5234845758635 0.150374976962053
"TCGA-EO-A3KX-01A-11R-A22K-07" "A3KX" 7.46502201249869 2 0.430118410554048 0.260864240235364
"TCGA-EY-A2OP-01A-11R-A19W-07" "A2OP" 4.27830516162855 2 0.371840387878318 0.329438165933188
"TCGA-AJ-A5DV-01A-11R-A27V-07" "A5DV" 8.21742866293526 2 0.495949075879354 0.164330742323583
"TCGA-KP-A3W3-01A-11R-A22K-07" "A3W3" 7.7147333536593 2 0.441792099116476 0.245406844073129
"TCGA-EY-A1GL-01A-11R-A13S-07" "A1GL" 2.51190827442879 2 0.195334819462508 0.476527788477624
"TCGA-SJ-A6ZJ-01A-12R-A34R-07" "A6ZJ" 5.18887936289225 2 0.542857227926157 0.0785813813042816
"TCGA-A5-A7WJ-01A-12R-A34R-07" "A7WJ" 5.00302474050483 2 0.579723885756851 0
"TCGA-A5-A2K5-01A-11R-A180-07" "A2K5" -6.09553832100369 1 0.513226831459911 0.168279078684329
"TCGA-AJ-A3EK-01A-11R-A19W-07" "A3EK" 0.338095773382044 0 0 0.668769619974041
"TCGA-B5-A3S1-01A-11R-A22K-07" "A3S1" -3.72583007703694 1 0.528173674769117 0.141931243425644
"TCGA-B5-A3F9-01A-21R-A22K-07" "A3F9" 6.25154125130208 2 0.495763353131994 0.164638539845607
"TCGA-B5-A3FH-01A-11R-A19W-07" "A3FH" 6.66555890136396 2 0.462978399879989 0.215637021868618
"TCGA-PG-A5BC-01A-12R-A27V-07" "A5BC" -7.45906545919212 1 0.497394470947741 0.194478761558122
"TCGA-DF-A2KY-01A-21R-A213-07" "A2KY" -9.02276073686698 1 0.285582288191469 0.433301524419069
"TCGA-AX-A3G3-01A-11R-A213-07" "A3G3" 1.31009667589656 0 0 0.651607530221727
